"year","value","state","stcname","stcgroup","units","base"
1958,0.814,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.846,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.882,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.865,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.928,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.705,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.955,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.977,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1966,0.957,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1967,1.127,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1968,1.192,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1969,1.289,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1970,1.221,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1971,1.303,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1972,2.795,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1973,1.474,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1974,1.015,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1975,1.663,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1976,1.539,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1977,1.651,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1978,1.714,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1979,1.846,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1980,1.88,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1981,1.946,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1982,2.197,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1983,2.228,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1984,2.35,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1985,2.377,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1986,2.4,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1987,2.436,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1988,2.463,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1989,2.507,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1990,2.457,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1991,3.034,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1992,3.347,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1993,3.484,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1994,3.493,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1995,3.596,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1996,3.669,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1997,3.757,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1998,4.139,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1999,4.571,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2000,4.275,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2001,4.835,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2002,4.753,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2003,5.398,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2004,5.632,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2005,5.67,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2006,5.756,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2007,6.097,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2008,6.085,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2009,5.939,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2010,6.045,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2011,6.238,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2012,6.221,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2013,6.734,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2014,7.212,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2015,6.875,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2016,7.367,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2017,7.84,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2018,9.102,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2019,8.26,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2020,7.639,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2021,6.138,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2022,6.263,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2023,9.013,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2024,10.58,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
2025,12.434,"CO","Alcohol","License Taxes","Million Dollars","Nominal"
1948,2.97,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1950,2.967,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1951,3.084,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1952,3.091,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1953,3.12,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1954,3.083,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1955,3.085,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1956,2.871,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1957,3.002,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1958,3.044,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1959,3.156,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1960,3.108,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1961,3.307,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1962,4.131,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1963,4.09,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1964,4.093,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1965,4.094,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1966,4.086,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1967,3.981,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1968,4.21,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1969,4.129,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1970,4.205,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1971,4.308,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1972,4.434,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1973,4.59,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1974,4.651,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1975,4.766,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1976,5.04,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1977,5.319,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1978,5.429,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1979,5.719,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1980,5.79,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1981,6.001,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1982,6.165,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1983,6.257,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1984,6.263,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1985,6.419,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1986,6.001,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1987,5.937,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1988,5.894,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1989,5.859,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1990,5.728,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1991,5.68,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1992,5.766,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1993,5.752,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1994,5.888,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1995,5.604,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1996,6.647,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1997,5.763,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1998,5.838,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1999,5.679,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2000,5.9,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2001,5.822,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2002,5.874,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2003,5.933,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2004,6.092,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2005,6.346,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2006,6.226,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2007,6.385,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2008,6.478,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2009,6.571,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2010,7.757,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2011,12.402,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2012,8.378,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2013,8.803,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2014,9.265,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2015,9.04,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2016,9.356,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2017,9.204,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2018,13.968,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2019,9.572,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2020,7.953,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2021,9.091,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2022,9.924,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2023,10.13,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2024,9.941,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
2025,10.324,"CT","Alcohol","License Taxes","Million Dollars","Nominal"
1948,0.173,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.167,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.101,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.181,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.2,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.261,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.272,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.279,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.29,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.29,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.29,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.292,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.294,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.288,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.288,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.281,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.293,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1966,0.31,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1967,0.264,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1968,0.282,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1969,0.286,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1970,0.285,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1971,0.229,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1972,0.306,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1973,0.301,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1974,0.404,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1975,0.386,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1976,0.396,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1977,0.433,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1978,0.426,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1979,0.435,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1980,0.479,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1981,0.478,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1982,0.459,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1983,0.516,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1984,0.558,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1985,0.578,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1986,0.545,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1987,0.581,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1988,0.628,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1989,0.602,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1990,0.586,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1991,0.844,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1992,0.671,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1993,0.83,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1994,0.599,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1995,0.869,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1996,0.591,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1997,0.861,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1998,0.625,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1999,0.83,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2000,0.593,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2001,0.79,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2002,0.627,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2003,0.828,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2004,0.614,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2005,0.846,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2006,0.706,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2007,0.977,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2008,0.804,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2009,1.187,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2010,1.409,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2011,1.982,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2012,1.465,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2013,1.943,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2014,1.547,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2015,1.91,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2016,1.584,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2017,2.034,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2018,1.816,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2019,2.44,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2020,1.468,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2021,1.693,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2022,2.566,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2023,2.852,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2024,2.019,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
2025,2.328,"DE","Alcohol","License Taxes","Million Dollars","Nominal"
1948,1.179,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1950,1.216,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1951,1.238,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1952,1.3,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1953,1.321,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1954,1.34,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1955,1.377,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1956,1.405,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1957,1.427,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1958,1.464,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1959,1.483,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1960,1.516,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1961,1.614,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1962,1.857,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1963,1.89,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1964,1.945,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1965,2.067,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1966,2.095,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1967,2.032,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1968,2.204,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1969,2.204,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1970,2.259,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1971,2.275,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1972,10.261,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1973,10.71,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1974,11.108,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1975,11.498,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1976,11.881,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1977,12.757,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1978,12.956,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1979,13.398,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1980,13.821,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1981,14.319,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
1982,19.719,"FL","Alcohol","License Taxes","Million Dollars","Nominal"
